company,Date,Open,High,Low,Close,Adj Close,Volume
AXP,2021-12-27,165.0,166.130005,162.529999,163.600006,158.148956,9181300
AXP,2022-01-03,164.509995,176.309998,164.399994,174.380005,168.569778,18220200
AXP,2022-01-10,176.210007,176.820007,164.710007,168.399994,163.197571,20573700
AXP,2022-01-17,167.910004,168.940002,157.679993,158.740005,153.836014,15913000
AXP,2022-01-24,155.820007,179.220001,152.850006,177.059998,171.590012,34904500
AXP,2022-01-31,175.910004,188.679993,175.220001,185.850006,180.10849,19293600
AXP,2022-02-07,185.630005,198.720001,184.75,191.809998,185.884369,22354900
AXP,2022-02-14,192.259995,199.550003,190.919998,194.880005,188.859528,17956200
AXP,2022-02-21,195.179993,196.149994,179.050003,193.710007,187.725693,18295500
AXP,2022-02-28,189.630005,195.130005,170.820007,172.949997,167.607025,27097600
AXP,2022-03-07,170.130005,172.309998,155.720001,167.899994,162.713013,26448400
AXP,2022-03-14,171.330002,191.0,169.710007,190.720001,184.828033,28824200
AXP,2022-03-21,190.770004,194.350006,185.179993,190.279999,184.401627,14134100
AXP,2022-03-28,189.949997,194.0,186.279999,187.169998,181.387711,14534400
AXP,2022-04-04,187.619995,190.839996,179.110001,183.699997,178.024918,16227400
AXP,2022-04-11,181.059998,182.470001,174.0,181.160004,176.061707,14813400
AXP,2022-04-18,181.330002,192.419998,180.320007,180.539993,175.459167,15499600
AXP,2022-04-25,179.979996,184.259995,174.330002,174.710007,169.793259,18136100
AXP,2022-05-02,174.649994,178.169998,165.009995,167.149994,162.445999,16081400
AXP,2022-05-09,165.029999,166.020004,149.880005,158.75,154.28241,19084200
AXP,2022-05-16,157.410004,162.759995,149.710007,153.240005,148.927475,14187900
AXP,2022-05-23,156.610001,169.679993,152.919998,169.600006,164.827057,14546800
AXP,2022-05-30,167.940002,170.779999,163.839996,166.830002,162.135025,9497600
AXP,2022-06-06,169.100006,170.259995,154.360001,154.419998,150.074234,10890100
AXP,2022-06-13,149.860001,151.029999,136.490005,144.179993,140.122421,25907800
AXP,2022-06-20,148.699997,148.699997,139.470001,146.149994,142.036987,19810000
AXP,2022-06-27,147.990005,149.509995,138.449997,139.470001,135.544998,9965700
